strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
010100020405,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020406,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020501,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020502,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020503,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020504,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020505,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020601,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020602,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020701,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020702,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020703,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020704,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020705,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020706,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020707,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020708,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020709,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020710,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100020711,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030101,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030102,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030103,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030104,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030105,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030201,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030202,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030203,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030204,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030205,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030206,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030207,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030301,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030302,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030303,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030304,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030305,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030306,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030307,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030308,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030309,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030310,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030401,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030402,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100030403,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040101,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040102,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040103,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040104,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040201,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040202,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040203,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040301,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040302,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040303,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040304,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040305,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040306,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040401,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040402,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040505,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040506,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040601,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040602,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040603,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040604,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040605,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040606,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040701,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040702,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040703,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040801,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
