model;dataset;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration;Best Params
MLP;Canadian Lynx;18;929681,8369786084;964,2001021461303;360,9371346037869;104,37638629449955;36,93;1,496396541595459;{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Canadian Lynx;16;1625718,1143124662;1275,036514893776;768,5868021419371;319,76888146042245;37,94;1,5521624088287354;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Canadian Lynx;10;1646033,3952494378;1282,978329999941;852,7714779772671;272,8064520863073;38,15;1,6152780055999756;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Canadian Lynx;9;1465719,042449355;1210,6688409508831;948,4037532194724;272,8906369551387;38,3;1,477113962173462;{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Canadian Lynx;13;1039225,3656390852;1019,4240362278522;738,9067990761749;250,1055619655937;38,52;1,369532346725464;{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Canadian Lynx;8;1742753,2583623873;1320,1338032042006;768,4254486608526;207,0297747064636;39,56;1,710759162902832;{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Canadian Lynx;6;1879639,4970505328;1370,9994518782755;1247,5181007041226;351,5832825663496;42,41;1,573493242263794;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Canadian Lynx;23;1605206,58381674;1266,9674754376056;691,2405209167979;187,9623014371172;42,86;1,0328476428985596;{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Canadian Lynx;20;694991,1533544715;833,6612941443734;711,7441716452968;170,6248350515383;43,52;1,4268243312835691;{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Canadian Lynx;11;2262352,613993701;1504,1119020849817;722,543552122954;175,31659869779952;45,35;0,4342029094696045;{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Canadian Lynx;3;2593626,875600529;1610,474115160045;728,5;168,19621467215245;46,37;1,3686892986297607;{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Canadian Lynx;19;1188779,2630381268;1090,3115440268102;832,0686103417163;252,7498973894617;47,88;1,4859061241149902;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Canadian Lynx;17;2560247,769331632;1600,0774260427625;557,5371465929693;114,67453769222882;49,1;1,5171723365783691;{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Canadian Lynx;2;3216708,824178986;1793,5185597531422;843,152546578902;117,15610418039276;51,03;1,0358381271362305;{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Canadian Lynx;4;3243213,8974208683;1800,892528004064;854,1640092400908;115,63664165958744;51,38;1,044672966003418;{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Canadian Lynx;15;2864480,266187437;1692,4775526391588;673,2657352541656;106,25366546262516;52,26;1,4112329483032229;{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Canadian Lynx;21;8740739,18351972;2956,474113453341;2308,659157242888;1039,9520751566042;52,36;0,894860029220581;{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Canadian Lynx;1;3451189,2567565097;1857,7376716739395;1108,3511606887523;107,98186337696882;54,14;1,2577548027038574;{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;Canadian Lynx;0;3478460,06523536;1865,063019105617;1118,7565031674708;106,73268183796633;54,54;4,24439263343811;{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (6, 12, 1), 'max_iter': 500, 'solver': 'adam'}
MLP;TSLA Stock prices;17;57123,528771392135;239,00529025817008;189,47445291622225;72,2818956931323;57,32;4,307824611663818;{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (6, 18, 1), 'max_iter': 500, 'solver': 'adam'}
