model;dataset;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration;Best Params
SVR;IBM Stock prices;7;35,83105324722701;5,985904547119592;2,392345230020311;2,172826390574986;1,08;11,878418445587158;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;IBM Stock prices;14;24,59691453741292;4,959527652651301;2,827929112807361;2,19706716957807;1,11;13,782409191131592;{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;IBM Stock prices;9;46,76343732276503;6,838379729348541;2,589448266995192;2,405956164931168;1,2;12,366394281387327;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;IBM Stock prices;16;26,616097388898563;5,159079122178547;3,5280343242373817;2,461646778216528;1,25;15,674615383148192;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;IBM Stock prices;13;81,64965766507942;9,036020012432433;2,247045954788206;2,6123030127651834;1,28;13,3031804561615;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;IBM Stock prices;19;33,653398183782635;5,801154900860917;3,353710220081041;2,5466926965907954;1,28;14,470237970352173;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;TSLA Stock prices;1;108,53675393698424;10,418097424049376;5,368872660401991;2,614330852149643;1,31;1,645331859588623;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;IBM Stock prices;11;55,76008611124256;7,467267646953775;2,910447127626284;2,654745749870324;1,32;12,946977615356444;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;TSLA Stock prices;2;110,2706840949115;10,500984910707734;5,516404971736336;2,629746542508364;1,32;1,7781078815460205;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;TSLA Stock prices;6;110,47905874152175;10,510901899528973;5,452449926063139;2,630467768530229;1,32;2,0923335552215576;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'}
