Dataset;Model;n_time_steps;MSE;RMSE;MAE;MAPE (%);sMAPE (%);Duration (s)
TSLA Stock prices;SVR;11;73,7;8,6;6,3;3,3;1,6;1,5
TSLA Stock prices;SVR;14;71,4;8,5;6,3;3,2;1,6;1,7
TSLA Stock prices;SVR;18;72,0;8,5;6,3;3,2;1,6;1,6
TSLA Stock prices;SVR;23;73,3;8,6;6,4;3,3;1,6;1,6
TSLA Stock prices;SVR;6;82,7;9,1;6,2;3,4;1,7;1,4
TSLA Stock prices;SVR;10;76,3;8,7;6,2;3,4;1,7;1,5
TSLA Stock prices;SVR;16;80,6;9,0;6,1;3,4;1,7;1,6
TSLA Stock prices;SVR;17;75,9;8,7;6,4;3,3;1,7;1,7
TSLA Stock prices;SVR;19;75,0;8,7;6,0;3,3;1,7;1,6
TSLA Stock prices;SVR;20;75,8;8,7;6,2;3,4;1,7;1,6
TSLA Stock prices;SVR;21;84,2;9,2;6,2;3,5;1,7;1,6
TSLA Stock prices;SVR;22;79,9;8,9;6,3;3,4;1,7;1,7
TSLA Stock prices;SVR;24;78,7;8,9;6,5;3,4;1,7;2,4
TSLA Stock prices;MLP;2;95,0;9,7;6,9;3,7;1,8;17,5
TSLA Stock prices;SVR;9;96,8;9,8;6,8;3,7;1,9;1,6
TSLA Stock prices;MLP;3;106,9;10,3;7,4;3,9;2,0;15,3
TSLA Stock prices;SVR;5;116,3;10,8;7,1;3,9;2,0;1,6
TSLA Stock prices;SVR;13;123,7;11,1;7,1;3,9;2,0;1,5
TSLA Stock prices;SVR;15;131,3;11,5;7,4;4,1;2,1;2,2
TSLA Stock prices;MLP;4;136,2;11,7;8,3;4,5;2,2;12,4
TSLA Stock prices;MLP;5;152,0;12,3;8,9;4,8;2,4;15,4
TSLA Stock prices;SVR;12;172,8;13,1;8,7;4,6;2,4;1,8
TSLA Stock prices;MLP;1;222,6;14,9;10,5;5,3;2,7;20,0
TSLA Stock prices;MLP;6;203,4;14,3;10,3;5,5;2,7;12,4
TSLA Stock prices;MLP;7;217,5;14,7;10,9;5,8;2,9;15,0
TSLA Stock prices;ARIMA;0;3583,7;59,9;42,3;27,1;10,9;0,4
TSLA Stock prices;MLP;0;17356,0;131,7;124,9;52,8;36,7;16,6
TSLA Stock prices;SVR;0;37491,7;193,6;189,9;83,9;72,5;1,0
